USERNAME,PASSWORD,FIRSTNAME,LASTNAME,ADDR1,ADDR2,PASS1,CREDITCARDNUM,EXPDATECARD
username1,password1,firstname1,lastname1,addr1_1,addr2_1,pass1_1,creditcardnum1,expdatecard1
username2,password2,firstname2,lastname2,addr1_2,addr2_2,pass1_2,creditcardnum2,expdatecard2
username3,password3,firstname3,lastname3,addr1_3,addr2_3,pass1_3,creditcardnum3,expdatecard3
username4,password4,firstname4,lastname4,addr1_4,addr2_4,pass1_4,creditcardnum4,expdatecard4
username5,password5,firstname5,lastname5,addr1_5,addr2_5,pass1_5,creditcardnum5,expdatecard5
username6,password6,firstname6,lastname6,addr1_6,addr2_6,pass1_6,creditcardnum6,expdatecard6
username7,password7,firstname7,lastname7,addr1_7,addr2_7,pass1_7,creditcardnum7,expdatecard7
username8,password8,firstname8,lastname8,addr1_8,addr2_8,pass1_8,creditcardnum8,expdatecard8
username9,password9,firstname9,lastname9,addr1_9,addr2_9,pass1_9,creditcardnum9,expdatecard9
username10,password10,firstname10,lastname10,addr1_10,addr2_10,pass1_10,creditcardnum10,expdatecard10
